,Word,Definition,Verb
1770,luna,['moon\n'],False
1771,lupus,['wolf\n'],False
1772,Lutosensis,['Leuze\n'],False
1773,lux lucis,['light\n'],False
1774,luxuria,"['luxury', 'extravagance', 'opulence\n']",False
1775,macer,"['thin', 'lean\n']",False
1776,macero,"['to soften', 'weaken', 'reduce', 'torment\n']",True
1777,macies,"['thiness', 'gauntness / poverty barrenness\n']",False
1778,macresco,"['to become lean', 'skinny', 'thin\n']",True
1779,mactabilis,"['deadly', 'lethal\n']",False
1780,macto,"['to magnify', 'glorify', 'honor / slay', 'fight', 'punish', 'afflict\n']",True
1781,macula,"['stain', 'mark', 'spot / blemish', 'fault', 'flaw\n']",False
1782,maculo,"['to stain', 'blemish', 'defile', 'pollute\n']",True
1783,maculosus,"['spotted', 'speckled', 'polluted\n']",False
1784,madesco,['to get wet\n'],True
1785,madide,['drunkenly\n'],False
1786,madidus,"['wet', 'moist', 'soaked', 'boiled', 'soft', 'drunk', 'dyed', 'steeped\n']",False
1787,mador,"['wetness', 'moisture\n']",False
1788,maero,"['to grieve', 'sorrow\n']",True
1789,maeror meror,"['mourning', 'grief', 'sorrow\n']",False
1790,magis,"['more', 'to a greater extent', 'rather', 'for preference\n']",False
1791,magister,"['master', 'canon / master of a school', 'professor\n']",False
1792,magnopere magnus opere,"['very', 'very much \n']",False
1793,magnus maior maximus,"['large', 'great', 'important\n']",False
1794,magus,['magical\n'],False
1795,maiestas,"['majesty', 'dignity', 'greatness\n']",False
1796,maiores,['(pl) ancestors\n'],False
1797,Malbodiensis,['Maubeuge\n'],False
1798,male peius pessime,"['badly', 'ill', 'wrongly\n']",False
1799,malens,['preferring\n'],False
1800,Malmundarium,['Malmedy\n'],False
1801,malo mallui malus,"['to choose', 'prefer\n']",True
1802,malum,"['evil', 'misfortune', 'misdeed', 'crime', 'injury', 'damage\n']",False
1803,malus peior pessimus,"['bad', 'wicked', 'evil\n']",False
1804,mancipo mancepo,"['to sell formally', 'turn over', 'give into charge\n']",True
1805,mancipo,"['to sell formally', 'give up\n']",True
1806,mandatum,"['order', 'decree', 'mandate', 'instruction\n']",False
1807,mando,"['to commit', 'entrust', 'order', 'command\n']",True
1808,mane,"['morning', 'early in the morning', 'early\n']",False
1809,manentia,['permanency\n'],False
1810,maneo,"['to remain', 'stay', 'stay the night', 'last', 'endure', 'abide by\n']",True
1811,mansuetus,"['mild', 'soft', 'gentle\n']",False
1812,manus manus,"['hand', 'band', 'handwriting\n']",False
1813,Marceniense,"['Marchiennes,\n']",False
1814,Marcieniensis,['Marchiennes\n'],False
1815,mare maris,['sea\n'],False
1816,maritus,['husband\n'],False
1817,mater matris,['mother\n'],False
1818,"matera, mairia","['?vat', 'for the fermentation of beer\n']",False
1819,materia,"['material', 'substance', 'matter\n']",False
1820,matertera,['maternal aunt\n'],False
1821,matrimonium,['marriage\n'],False
1822,maxime,"['greatly', 'exceedingly', 'to the highest degree', 'very\n']",False
1823,maxime,"['especially', 'particularly', 'principally\n']",False
1824,me,['(acc) me / that old black magic has ME in its spell\n'],False
1825,me,"[""(abl) me / you'll do fine with ME"", 'baby\n']",False
1826,medicus,"['doctor', 'physician\n']",False
1827,mediocris,"['ordinary', 'average', 'fair', 'moderate', 'mediocre\n']",False
1828,meditor meditatus,"['to reflect upon', 'consider', 'ponder / practice \n']",True
1829,medius,"['middle', 'the middle of\n']",False
1830,mei,"['my', 'mine / MY heart belongs to daddy that old gang of MINE\n']",False
1831,mel  mellis,['honey\n'],False
1832,melior,['better\n'],False
1833,mellitus,"['honeyed', 'sweet as honey\n']",False
1834,membrana,"['thin skin', 'film', 'parchment', 'membrane', 'prepared skin\n']",False
1835,memini meminisse,['to remember\n'],True
1836,memor,"['mindful', 'remembering', 'grateful', 'thoughful', 'prudent\n']",False
1837,memoratus,['mentioned\n'],False
1838,memoria,"['memory', 'remembrance', 'recall', 'recollection\n']",False
1839,Menapiorum,['\n'],False
1840,mendosus,"['faulty', 'full of faults\n']",False
1841,mens mentis,"['mind', 'thought', 'intention', 'intellect\n']",False
1842,mensa,['table\n'],False
1843,mensis mensis,['month\n'],False
1844,merces mercedis,"['pay', 'reward', 'recompense', 'compensation\n']",False
1845,"mereo, mereor","['deserve', 'earn', 'be entitled to', 'merit\n']",False
1846,mereo,"['deserve', 'gain', 'obtain', 'serve as a soldier\n']",False
1847,meretrix meretricis,"['prostitute', 'whore', 'harlot\n']",False
1848,meridianus,"['midday', 'afternoon', 'south\n']",False
1849,mestitia,['misfortune?\n'],False
1850,Metim,['Metz\n'],False
1851,metuo,"['to fear', 'dread', 'be frightened\n']",True
1852,metus,"['fear', 'dread', 'anxiety\n']",False
1853,meus,['my\n'],False
1854,mica,"['crumb', 'morsel', 'grain \n']",False
1855,mihi,"['(dat) me / give ME land', 'lots of land\n']",False
1856,miles militis,"['soldier', 'warrior', 'knight\n']",False
1857,milia,['(pl) thousands\n'],False
1858,militaris -e,"['of a soldier', 'military', 'martial\n']",False
1859,mille,['a thousand\n'],False
1860,millies milies,['a thousand times\n'],False
1861,minime,"['in the least degree', 'very little / not at all', 'by no means\n']",False
1862,minimus,"['least', 'smallest', 'slightest\n']",False
1863,ministro,"['to serve', 'wait upon', 'provide', 'supply\n']",True
1864,ministro,"['to attend', 'wait upon', 'assist\n']",True
1865,minor,"['smaller', 'less', 'slighter\n']",False
1866,minuo  minui  minutum,"['To less', 'diminish', 'decrease', 'grow smaller\n']",False
1867,mire,"['wonderfully', 'marvellously', 'uncommonly\n']",False
1868,miro,['to wonder\n'],True
1869,miror,"['to marvel at', 'admire', 'wonder\n']",True
1870,mirus,"['wonderful', 'astonishing', 'extraordinary\n']",False
1871,misceo miscui mixtum,"['to mix', 'mingle', 'blend\n']",True
1872,miser,"['wretched', 'unfortunate', 'miserable\n']",False
1873,misere,"['wretchedly', 'miserably\n']",False
1874,"misereo, misereor",['to pity \n'],True
1875,misericordia,"['pity', 'mercy\n']",False
1876,missa,['holy mass\n'],False
1877,mitesco,"['to grow mild', 'ameliorate\n']",True
1878,mitigo,"['to make mild or ripe', 'make smooth', 'pacify', 'appease\n']",True
1879,mitis,"['mild', 'gentle / ripe', 'mature\n']",False
1880,mitto  misi  missum,"['to send', 'dispatch\n']",True
1881,modestus,"['orderly', 'within bounds', 'moderate', 'restrained\n']",False
1882,modica,"['moderate', 'within bounds', 'limited', 'undistinguished\n']",False
1883,modicus,"['ordinary', 'undistinguished', 'within bounds\n']",False
1884,modio,"['a grain measure', 'a bushel basket\n']",False
1885,modo,"['now', 'just now', 'only\n']",False
1886,modus,"['measure', 'bound', 'limit / manner', 'method', 'mode', 'way\n']",False
1887,Moguntienses,['Mainz\n'],False
1888,moleste,['take annoyance\n'],False
1889,moleste fero,['I take annoyance\n'],False
1890,molestia,"['annoyance', 'troublesomeness / stiffness', 'affectation\n']",False
1891,molestus,"['troublesome', 'disagreeable', 'annoying\n']",False
1892,molior,"['to build', 'erect', 'construct', 'contrive', 'toil', 'struggle\n']",True
1893,mollio,"['to soften', 'make pliant\n']",True
1894,mollis,"['adj soft', 'pliant', 'flexible', 'easily moved', 'gentle\n']",False
1895,monachus,['monk \n'],False
1896,Monasteriense,['Munster\n'],False
1897,monasterium,"['monastery', 'abbey', 'convent\n']",False
1898,moneo,"['to warn', 'admonish', 'remind', 'advise', 'instruct\n']",True
1899,monitio,"['admonition', 'warning\n']",False
1900,mons montis,"['mountain', 'mount\n']",False
1901,monstro,"['to show', 'appoint', 'point out', 'ordain\n']",True
1902,monstrum,"['portent', 'omen', 'monster\n']",False
1903,Montensem,['Mons\n'],False
1904,mora,['delay\n'],False
1905,moratlis,['mortal\n'],False
1906,morbus,"['sickness', 'disease', 'illness\n']",False
1907,"mores, morium","['ways', 'conduct', 'character', 'morals\n']",False
1908,morior,"['to die', 'wither away', 'decay\n']",True
1909,mors mortis,['death\n'],False
1910,morsus,"['a biting', 'bite', 'also', 'sting', 'pain\n']",False
1911,mortifera,['deadly things\n'],False
1912,mortuus,"['dead', 'deceased', 'passed away', 'gone West', 'departed\n']",False
1913,mos  moris,"['will', 'inclination / custom', 'wont', 'usage', 'rule\n']",False
1914,moveo moti motum,"['to move', 'arouse', 'affect', 'influence\n']",True
1915,mox,"['soon', 'presently', 'then', 'thereupon\n']",False
1916,mucro,"['a sharp point', 'edge', 'dagger point\n']",False
1917,mugio,"['to groan', 'bellow', 'roar', 'low\n']",True
1918,mulier,['woman\n'],False
1919,multi,"['many', 'numerous / the common herd\n']",False
1920,multo,"['by much', 'by far', 'by a great deal', 'by a lot\n']",False
1921,multum,"['much', 'greatly\n']",False
1922,multusne multus,"['briefly', 'in brief\n']",False
1923,multus,"['much', 'great\n']",False
1924,multus plus plurimum,"['much', 'a lot\n']",False
1925,mundo,['to clean\n'],True
1926,mundus,"['world', 'universe\n']",False
1927,mundus,"['clean', 'neat', 'elegant\n']",False
1928,munero / munerior,"['to give', 'present\n']",True
1929,munimentum,"['fortification', 'protection', 'defenses\n']",False
1930,munio,"['to fortify', 'defend', 'protect / build a road\n']",True
1931,munitio,"['fortifying', 'defense works', 'bridging', 'fortification\n']",False
1932,munus  muneris,"['service', 'office', 'function', 'duty / gift\n']",False
1933,mus muris,['mouse\n'],False
1934,mussito,"['to grumble', 'mutter\n']",True
1935,mutatio,"['change', 'alteration', 'transformation\n']",False
1936,muto,"['to change', 'alter / exchange\n']",True
1937,muto,"['punish', 'fine', 'mulct\n']",False
1938,mutuo,"['borrowed', 'lend', '\n']",False
1939,mutuus,"['interchanged', 'mutually', 'reciprocal / reciprocity\n']",False
1940,mutuusa loan. dare mutuum,['to make a loan\n'],True
1941,Namucense,['Namur\n'],False
1942,narro,"['to make known', 'say', 'speak', 'narrate\n']",True
1943,nascor  nasci  natus,"['to be born', 'spring forth\n']",True
1944,natalis natalis,['birthday\n'],False
1945,natio,"['nation', 'people\n']",False
1946,natura,['nature\n'],False
1947,nauta,['sailor\n'],False
1948,navigatio,"['voyage', 'navigation\n']",False
1949,navigo,"['to sail', 'navigate\n']",True
1950,navis navis,"['ship', 'vessel', 'boat\n']",False
1951,ne ... quidem,['not  even\n'],False
1952,ne,"['(conj) that  not', 'in order that  not', 'in order not to\n']",False
1953,necdum (neque dum),['and not yet\n'],False
1954,necessarius,"['necessary', 'needed', 'essential\n']",False
1955,necesse,"['(adj) necessary', 'unavoidable', 'indispensable\n']",False
1956,necne,['or not\n'],False
1957,neco,"['to kill', 'slay', 'put to death \n']",True
1958,nefas,"['wrong', 'sin\n']",False
1959,nego,['to deny \n'],True
1960,negotium,"['employment', 'business', 'task', 'occupation', 'pains\n']",False
1961,nemo,"['no one', 'nobody\n']",False
1962,neo,"['to spin', 'interweave (to spin thread and yarn)\n']",True
1963,nepos nepotis,['grandson\n'],False
1964,nequam,"['worthless', 'good for nothing', 'bad\n']",False
1965,nequaquam,"['by no means', 'not at all\n']",False
1966,neque ... neque,['neither  nor\n'],False
1967,neque nec,"['and not', 'nor\n']",False
1968,nequeo,"['not to be able', 'to be impossible\n']",False
1969,nequitia nequities,"['worthlessness', 'badness', 'wickedness\n']",False
1970,nescio,"['to be ignorant', 'be unaware', 'not know', 'be unknowing\n']",True
1971,nichilominus,['nevertheless\n'],False
1972,nidor,"['vapor', 'smell', 'reek', 'odor\n']",False
1973,niger,['black\n'],False
1974,nihil,['(undeclinable) nothing\n'],False
1975,nihilum,['nothing\n'],False
1976,nimirum,"['of course', 'undoubtedly', 'certainly (sometimes ironical)\n']",False
1977,nimis,"['(adv) too much', 'overmuch', 'excessively\n']",False
1978,nimium,"['(adv) too much', 'overmuch', 'excessively\n']",False
1979,nisi,"['if not', 'unless', 'except\n']",False
1980,niteo,"['to shine', 'glitter', 'be bright', 'glow', 'be sleek', 'flourish\n']",True
1981,nitesco,"['to begin to shine', 'grow sleek\n']",True
1982,nitor,"['to strive', 'exert oneself', 'make an effort', 'persevere\n']",True
1983,nitor,"['to rest', 'lean', 'support oneself / trust in', 'depend upon\n']",True
1984,nitor,"['brilliance', 'brightness', 'glow', 'elegance', 'splendor\n']",False
1985,Nivellensem,"['Nivelles', 'city and monastery\n']",False
1986,niveus,"['white', 'snowy\n']",False
1987,"no: (nare, navi)","['to swim', 'float', 'fly', 'sail\n']",True
1988,nobis,"[""(abl) us / there'll be no one as happy as US\n""]",False
1989,nobis,['(dat) us / the world belongs to US\n'],False
1990,nocens,"['bad', 'wicked', 'injurious', 'culpable', 'evil\n']",False
1991,noceo,"['(+ dat) to do harm to', 'inflict injury', 'hurt\n']",False
1992,"nolo, nolle, nolui","['to be unwilling', 'wish not to', 'refuse\n']",True
1993,nomenname / nomen Romanorum: ,['Roman power\n'],False
1994,nominatim,"['by name', 'expressly\n']",False
1995,nomine tenus,"['nominally', 'in name\n']",False
1996,nomine tenus nominetenus,['as far as the meaning of the word extends\n'],False
1997,non,['not\n'],False
1998,nondum,['not yet\n'],False
1999,nonnisi,"['not? not unless? Herimann', 'cap 34\n']",False
2000,nonnullus,['some / pl several \n'],False
2001,nonnumquam,['sometimes\n'],False
2002,nonus,['ninth\n'],False
2003,nos,['we / WE live and die by that creed\n'],False
2004,nos,"[""us / they tried to tell US we're too young\n""]",False
2005,nosco,"['to become acquainted with', 'get to know\n']",True
2006,noster nostra nostrum,"['our', 'ours\n']",False
2007,noster nostri,['our ours / OUR hearts beat as one \n'],False
2008,noster nostri,['our ours / that old dream of OURS\n'],False
2009,nota,"['mark', 'token', 'note', 'sign\n']",False
2010,notarius,"['stenographer (class)', 'notary', 'legal scribe\n']",False
2011,novem,['nine\n'],False
2012,novitas,"['newness', 'novelty', 'strangeness\n']",False
2013,novo,"['to make anew', 'refresh', 'revive', 'change', 'alter', 'invent\n']",True
2014,novus,"['novel', 'unusual', 'extraordinary / news', 'novelty', 'a new thing\n']",False
2015,novus,"['new', 'fresh', 'young', 'inexperienced', 'revived', 'refreshed\n']",False
2016,nox noctis,['night\n'],False
2017,nullus,"['not any', 'no', 'none\n']",False
2018,numerus,"['total', 'category', 'class', 'number\n']",True
2019,numquam,"['adv at no time', 'never \n']",False
2020,nunc quidem,['at one time  then\n'],False
2021,nunc,"['now', 'at the present time\n']",False
2022,nunquam,['never\n'],False
2023,nuntio,"['to announce', 'report', 'relate\n']",True
2024,nuntius,"['messenger', 'message\n']",False
2025,nuper,"['newly', 'recently', 'not long ago\n']",False
2026,nusquam esse,['not to exist\n'],False
2027,nusquam,"['nowhere', 'in no place', 'nothing', 'for nothing', 'never\n']",False
2028,nutrimens,"['food', 'nourishment\n']",False
2029,nutrimentus,['nourishment\n'],False
2030,nutrio,"['to suckle', 'nourish', 'bring up', 'rear\n']",True
2031,nutus,"['a nodding', 'nod', 'command', 'will\n']",False
2032,nutus,"['a nod', 'command', 'will / gravitation', 'movement down\n']",False
2033,obduro,"['to be hard', 'persist', 'endure', 'last', 'hold out\n']",True
2034,obicio obieci obiectum,"['to offer', ""throw in someone's teeth\n""]",True
2035,obligatus,"['bound', 'under an obligation\n']",False
2036,obliquo,"['to turn sideways', 'turn aside\n']",True
2037,oblittero,"['to cancel', 'blot out\n']",True
2038,oblivio,"['forgetfulness', 'oblivion\n']",False
2039,obruo,"['to overwhelm', 'destroy\n']",True
2040,obsequium,"['indulgence', 'pliancy', 'submission \n']",False
2041,obstinatus,"['firm', 'resolved', 'staunch\n']",False
2042,obtestor,"['to implore', 'entreat', 'beg', 'call as a witness\n']",True
2043,obtineo,"['to hold', 'keep', 'possess', 'maintain / to continue\n']",True
2044,obviam ire,"['(+ dat) to go to meet', 'oppose / help', 'remedy\n']",False
2045,obviam,"['on the way', 'in the way / (+ dat) towards', 'against\n']",False
2046,obvius,"['on the way', 'in the way / (in dat) open', 'accessible\n']",False
2047,occasio,"['favorable moment', 'opportunity\n']",False
2048,occido occidi occasum,"['to fall', 'fall down', '(for the sun) to set\n']",True
2049,occulto,['secretly\n'],False
2050,occupo,"['to take possession', 'grasp', 'seize', 'enjoy', 'get a start on\n']",True
2051,occurro,"['to fall upon', 'attack', 'work against', 'counteract\n']",True
2052,occursus,"['meeting', 'falling in', 'running into each other \n']",False
2053,ocius,"['quick fleet', 'sooner', 'faster\n']",False
2054,oculus,['eye\n'],False
2055,odio,"['to hate', 'despite', 'hold in contempt', 'dislike strongly\n']",True
2056,odium,['hatred\n'],False
2057,offensio,"['striking', 'knocking', 'hitting against', 'blow \n']",False
2058,offero,"['to bring forward', 'place before', 'present', 'offer', 'expose\n']",True
2059,officina,"['workshop', 'factor\n']",False
2060,officium,"['duty', 'service', 'job\n']",False
2061,olim,"['at that time', 'formerly', 'once', 'for a long time now\n']",False
2062,omitto,"['to omit', 'leave out / let go\n']",True
2063,omnigenus,['of all kinds\n'],False
2064,omnino,"['altogether', 'entirely', 'wholly', 'certainly', 'completely\n']",False
2065,omnipotens,"['all-powerful', 'almighty', 'omnipotent\n']",False
2066,omnis,"['all', 'every\n']",False
2067,onero,"['to load', 'burden', 'oppress', 'fill up\n']",True
2068,onus,"['load', 'burden', 'weight', 'trouble / charge', 'public road tax\n']",False
2069,opera,"['work', 'pains', 'labor\n']",False
2070,operor,"['to work', 'labor', 'toil', 'take pains\n']",True
2071,opes,"['(pl) means', 'wealth', 'abundance', 'riches', 'resources\n']",False
2072,opinio,"['opinion', 'report', 'rumor', 'conjecture', 'report\n']",False
2073,opisthotonos,['A disease where the body is curved backward\n'],False
2074,oporotheca,['place for keeping fruit \n'],False
2075,oportet,"['it is proper', 'one should', 'one ought\n']",False
2076,oportunitas,"['convenience', 'fitness', 'advantage', 'opportunity\n']",False
2077,oppono  opposui oppositum,"['to set against', 'oppose', 'be opposite\n']",True
2078,opportune,"['(adv) opportunely', 'conveniently\n']",False
2079,opportunitas,"['fitness', 'suitability', 'convenience', 'advantage\n']",False
2080,opportunitatus,"['Herimann', 'cap 42\n']",False
2081,opportunus,"['opportune', 'fit', 'convenient', 'suitable\n']",False
2082,opportunus,"['fit', 'suitable / (time) favorable / (+dat) liable to\n']",False
2083,opprimo oppressi oppressum,"['to suppress', 'overwhelm', 'overpower', 'check \n']",True
2084,opprobrium,"['reproach', 'disgrace\n']",False
2085,oppugno,"['to fight against', 'attack', 'assault', 'assail\n']",True
2086,opssingular: ,"['power', 'power to aid', 'power to help\n']",False
2087,optimates,['the aristocratic party\n'],False
2088,optimus: ,"['one of the best', 'aristocrat', 'noble\n']",False
2089,opto,"['to desire', 'wish for', 'want\n']",True
2090,opus operis,"['work', 'labor', 'work done', 'completed work', 'building\n']",False
2091,oratio,"['speech', 'address', 'oration\n']",False
2092,orator,"['orator', 'speaker\n']",False
2093,orbis terrarum,"['the world', 'the Earth\n']",False
2094,orbis,"['circle', 'orb\n']",False
2095,ordinatio,"['rule', 'government', 'order', 'arrangment', 'regulation\n']",False
2096,"ordine, ordinem","['regularly', 'appropriately', 'properly\n']",False
2097,ordo,"['rank', 'class', 'order\n']",False
2098,orior oriri ortus,"['rise', 'become visible', 'appear\n']",False
2099,ornatus,"['dress', 'attire', 'equipment', 'ornament', 'embellishment\n']",False
2100,orno,"['to equip', 'furnish', 'supply / decorate', 'adorn\n']",True
2101,oro,"['to speak', 'argue', 'plead', 'orate', 'beg', 'entreat\n']",True
2102,"os, oris","['mouth', 'face', 'countenance\n']",False
2103,ostendo,"['show', 'reveal', 'present', 'make plain', 'declare\n']",False
2104,ostium,"['entrance', 'door\n']",False
2105,otium,"['free time', 'leisure', 'ease', 'peace', 'repose\n']",False
2106,otium,"['ease', 'leisure', 'inactivity\n']",False
2107,ovis ovis,['sheep\n'],False
2108,paciscor,"['to make a bargain or agreement', 'covenant', 'deal\n']",True
2109,pactum,"['treaty', 'pact', 'contract\n']",False
2110,pactum,"['agreement', 'contract', 'covenant', 'pact \n']",False
2111,pactus,"['agreed-upon', 'stipulated', 'betrothed\n']",False
2112,"paene, pene","['nearly', 'almost\n']",False
2113,paganus,"['countryman', 'peasant', 'pagan\n']",False
2114,pala,"['spade', 'peel for putting bread in the oven\n']",False
2115,palam,"['openly', 'publicly', '(+abl) in the presence of\n']",False
2116,palea,['chaff\n'],False
2117,pallium,"['coverlet', 'mantle', 'cloak\n']",False
2118,palma,['palm\n'],False
2119,pando,"['to stretch out', 'spread out', 'extent\n']",True
2120,panis panis,['bread\n'],False
2121,par,"['equal', 'like\n']",False
2122,paratus,"['prepared', 'ready', 'provided', 'equipped\n']",False
2123,paratus,"['prepared', 'ready', 'equipped; (of persons) skilled\n']",False
2124,paratus,"['preparation', 'fitting out', 'equipment\n']",False
2125,parco,"['(with dative) to spare', 'refrain from injuring\n']",False
2126,parco(+inf.: ,"['to forbear to)', 'avoid', 'spare', 'keep oneself from\n']",True
2127,parens parentis,['parent\n'],False
2128,pareo,"['(+ dat) to be obedient to', 'obey\n']",False
2129,paries parietis,['wall\n'],False
2130,parilis,"['similar', 'like', 'equal\n']",False
2131,pario,"['to bear', 'bring forth', 'produce / create', 'make', 'get\n']",True
2132,pariter,"['equally', 'in like manner', 'as well\n']",False
2133,paro,"['to prepare', 'get ready / set', 'put / furnish', 'supply / buy\n']",True
2134,pars partis,"['part', 'share / direction\n']",False
2135,partim,['partly / some\n'],False
2136,parum  minus  minime,"['(adv) little', 'too little', 'not enough\n']",False
2137,parvus  minor  minimus,"['small', 'little\n']",False
2138,pasco,"['to graze', 'forage', 'browse\n']",True
2139,passer,['sparrow\n'],False
2140,passim,"['adv far and wide', 'everywhere', 'scattered about\n']",False
2141,patefacio,"['to disclose', 'expose', 'open', 'make open\n']",True
2142,pateo,"['to be revealed', 'to stand open', 'to be clear', 'plain\n']",True
2143,pater  patris,['father\n'],False
2144,paternus,"['of a father', 'paternal', 'native \n']",False
2145,patiens,['patient / (+ gen) capable of enduring\n'],False
2146,patientia,"['patience', 'suffering', 'endurance\n']",False
2147,patior,"['to suffer', 'endure', 'permit\n']",True
2148,patria,"['fatherland', ""one's native country"", 'homeland\n']",False
2149,patrocinor,"['to protect', 'defend', 'support', 'patronize\n']",True
2150,patronus,"['patron', 'protector\n']",False
2151,patruus,['paternal uncle\n'],False
2152,pauci,"['few', 'a few', 'some\n']",False
2153,paulatim,"['gradually', 'little by little\n']",False
2154,pauper,"['beggar', 'person without means\n']",False
2155,pauper,"['poor', 'with few means', 'poverty-stricken\n']",False
2156,paupertas,"['beggardry', 'poverty', 'humble circumstances\n']",False
2157,pax pacis,['peace\n'],False
2158,peccatus,['sin\n'],False
2159,pecco,"['to do wrong', 'err', 'sin', 'go astray\n']",True
2160,pecto,"['to comb', 'card', 'thrash (to card wool)\n']",True
2161,pectus pectoris,"['heart', 'breast\n']",False
2162,pecunia,['money\n'],False
2163,pecus,"['a single head of cattle', 'especially a sheep\n']",False
2164,peior,['worse (see malus)\n'],False
2165,pello  pepulli  pulsum,"['to hit', 'beat / exile', 'drive away', 'banish\n']",True
2166,pendeo,"['to hang', 'depend', 'be suspended / be uncertain', 'undecided\n']",True
2167,pendo,"['to weigh', 'value', 'consider', 'judge', 'esteem\n']",True
2168,penitus,"['inward', 'inner', 'interior\n']",False
2169,penitus,"['(adv) inside', 'widely', 'through and through', 'completely\n']",False
2170,"penus, us","['provender', 'supplies', 'victuals\n']",False
2171,pepulo,"['? Herimann', 'cap 3\n']",False
2172,per,"['(+ acc) (cause) because of', 'on account of\n']",False
2173,per,"['(+ acc) (means / instrument) through', 'with', 'by', 'by means of\n']",False
2174,per,"['(+ acc) (of time) throughout', 'during', 'in the course of\n']",False
2175,per,"['(+ acc) (of space) through', 'along', 'over / in the presence of\n']",False
2176,peracto,"['to carry through', 'complete', 'accomplish\n']",True
2177,peragro,"['to wander through', 'travel through\n']",True
2178,percipio  percepi  perceptum,"['to gain', 'learn', 'perceive', 'understand\n']",True
2179,percontor percunctor,"['inquire', 'interrogate', 'investigate\n']",False
2180,perculsus,['a shock\n'],False
2181,percutio (percussum),"['to strike hard', 'pierce', 'transfix / shock\n']",True
2182,perdignus,['very worthy\n'],False
2183,perdo,"['to destroy', 'ruin', 'waste', 'scatter', 'squander\n']",True
2184,perduco,"['to lead through', 'conduct', 'carry through\n']",True
2185,peregrinus,"['wanderer', 'foreigner', 'stranger / pilgrim', 'crusader\n']",False
2186,pereo,"['to pass away', 'be destroyed', 'perish\n']",True
2187,perfectus,"['complete', 'finished', 'done / perfect', 'without flaw\n']",False
2188,perfero,"['to bear', 'suffer', 'endure\n']",True
2189,perficio perfeci perfectum: ,"['to do thoroughly', 'accomplish', 'bring about\n']",True
2190,perfruor,"['to execute completely', 'enjoy to the full\n']",True
2191,perfusus,"['steeped', 'soaked', 'drenched\n']",False
2192,pergo,"['to continue', 'proceed', 'go on with\n']",True
2193,periclitatus,"['put in peril', 'endangered\n']",False
2194,periclitor,"['to test make a trial', 'put in peril', 'endanger\n']",True
2195,periculosus,"['hazardous', 'dangerous\n']",False
2196,periculum,"['danger', 'risk\n']",False
2197,perimo peremi peremptum,['to destroy\n'],True
2198,peritus,"['skilled', 'expert\n']",False
2199,periurium,"['perjury', 'oath-breaking', 'forswearing an oath\n']",False
2200,perlustro,"['to pass through', 'survey', 'look', 'examine\n']",True
2201,permitto permissi permissum,"['to allow', 'permit', 'let \n']",True
2202,permoveo,"['to excite', 'agitate', 'stir up', 'move\n']",True
2203,perniciosus,"['pernicious', 'destructive\n']",False
2204,perperam,"['wrongly', 'falsely\n']",False
2205,perpetro,"['to complete', 'accomplish', 'perform\n']",True
2206,perpetuus,"['perpetual', 'lasting', 'continuous', 'uninterrupted\n']",False
2207,perscitus,"['very clever', 'exceedingly sharp \n']",False
2208,perscribo,"['to write out', 'write down', 'place on record\n']",True
2209,perseco,"['to cut through', 'dissect', 'cut away \n']",True
2210,persequor persequi persecutus,"['to follow', 'pursue', 'take revenge\n']",True
2211,perseverantia,"['perseverance', 'persistence\n']",False
2212,persevero,"['to persist', 'persevere', 'continue\n']",True
2213,persisto,"['to persist', 'persevere \n']",True
2214,persolvo,"['to unloose', 'explain', 'expound / pay off a debt', 'pay\n']",True
2215,personam gero,['to act a part\n'],True
2216,perspicuus,"['transparent', 'bright', 'clear', 'evident\n']",False
2217,persuadeo persuasi persuasum,['(+ dat) to persuade\n'],False
2218,perterreo,['to terrify\n'],True
2219,pertimesco,['to become very much afraid\n'],True
2220,pertinacia,"['firmness', 'obstinacy', 'stubbornness\n']",False
2221,pertinaciter,"['stubbornly', 'obstinately\n']",False
2222,pertinax,"['persistent', 'firm', 'mean', 'stubborn', 'obstinate\n']",False
2223,pertineo,"['to pertain to', 'relate to', 'concern\n']",True
2224,pertingo,"['to stretch out', 'extend\n']",True
2225,pertorqueo,"['to twist', 'distort\n']",True
2226,pertraho,"['to drag', 'forcibly conduct', 'entice', 'allure\n']",True
2227,perturbo,"['to disturb', 'trouble', 'perturb', 'disrupt\n']",True
2228,perturpis,['very disgraceful \n'],False
2229,peruro perussi perustum,"['to burn up', 'consume / inflame', 'gall', 'chafe\n']",True
2230,pervalidus,['very strong\n'],False
2231,pervenio,"['(+ acc) to reach', 'attain', 'reach', 'be passed to\n']",False
2232,perverto perverti perversum,"['to turn upside down', 'overturn', 'overthrow\n']",True
2233,pervideo  pervidi pervisum,"['to look over', 'survey', 'inspect', 'discern\n']",True
2234,pes pedis,['foot\n'],False
2235,pessimus,['worst (see malus)\n'],False
2236,pessum do: ,"['to destroy', 'ruin', 'wreck\n']",True
2237,pessum ire: ,"['to sink', 'be ruined', 'destroyed', 'be put to an end\n']",True
2238,pessum,"['to the ground', 'to the bottom', 'downward\n']",True
2239,pestifer,"['pestilential', 'injurious', 'damaging', 'plaguey,\n']",False
2240,pestifere,"['destructively', 'injuriously\n']",False
2241,pestis pestis,"['plague', 'epidemic', 'pestilence / destruction', 'curse\n']",False
2242,petitus,['inclining toward\n'],False
